state,scenario,urban_fiber_locations,urban_fw_locations,urban_sat_locations,rural_fiber_locations,rural_fw_locations,rural_sat_locations,tribal_fiber_locations,tribal_fw_locations,tribal_sat_locations,cost_urban_fiber,cost_urban_fw,cost_urban_sat,cost_rural_fiber,cost_rural_fw,cost_rural_sat,cost_tribal_fiber,cost_tribal_fw,cost_tribal_sat,fiber_spent,fw_spent,sat_spent,total_spent,fiber_served,fw_served,sat_served,fiber_ratio,fw_ratio,sat_ratio,remaining_funds,unserved_remaining,success,message
IN,RURAL_FRIENDLY,82918.0,23088.0,0.0,0.0,15839.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,829180000.0,38927000.0,0.0,868107000.0,82918.0,38927.0,0.0,0.6805203332102261,0.3194796667897739,0.0,2929.789999961853,0.0,True,
IA,RURAL_FRIENDLY,36513.0,6828.0,0.0,0.0,39368.0,0.0,0.0,1053.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,365130000.0,50197400.0,0.0,415327400.0,36513.0,47249.0,0.0,0.43591366013227956,0.5640863398677205,0.0,3913.0,0.0,True,
KS,RURAL_FRIENDLY,24896.0,0.0,0.0,16603.0,24032.0,0.0,0.0,3342.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,414990000.0,36731600.0,0.0,451721600.0,41499.0,27374.0,0.0,0.6025438125245016,0.3974561874754984,0.0,4398.149999976158,0.0,True,
KY,RURAL_FRIENDLY,101652.0,35382.0,5.0,0.0,34259.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,1016520000.0,69641000.0,7500.0,1086168500.0,101652.0,69641.0,5.0,0.5934219897488587,0.40654882135226333,2.9188898877978726e-05,4036.859999895096,0.0,True,
LA,RURAL_FRIENDLY,132212.0,7603.0,0.0,0.0,15827.0,0.0,0.0,2632.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,1322120000.0,33431600.0,0.0,1355551600.0,132212.0,26062.0,0.0,0.8353361891403516,0.16466381085964846,0.0,2952.9400000572205,0.0,True,
ME,RURAL_FRIENDLY,22495.0,0.0,0.0,1041.0,28020.0,0.0,0.0,2262.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,235360000.0,36615600.0,0.0,271975600.0,23536.0,30282.0,0.0,0.4373258017763573,0.5626741982236426,0.0,2123.0699999928474,0.0,True,
MD,RURAL_FRIENDLY,25740.0,7450.0,0.0,0.0,2886.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,257400000.0,10336000.0,0.0,267736000.0,25740.0,10336.0,0.0,0.7134937354473888,0.28650626455261113,0.0,2400.7100000083447,0.0,True,
MA,RURAL_FRIENDLY,8066.0,0.0,0.0,518.0,0.0,0.0,55.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,91670000.0,0.0,0.0,91670000.0,8639.0,0.0,0.0,1.0,0.0,0.0,55752464.389999986,0.0,True,
MI,RURAL_FRIENDLY,131409.0,0.0,0.0,8976.0,58305.0,0.0,0.0,25580.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,1403850000.0,155509000.0,0.0,1559359000.0,140385.0,83885.0,0.0,0.6259642395327061,0.37403576046729387,0.0,3479.289999961853,0.0,True,
MN,RURAL_FRIENDLY,40929.0,0.0,0.0,12278.0,38668.0,1.0,0.0,21341.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,532070000.0,119763800.0,1500.0,651835300.0,53207.0,60009.0,1.0,0.4699559253469002,0.5300352420572882,8.832595811583065e-06,4068.2000000476837,0.0,True,
MS,RURAL_FRIENDLY,111793.0,0.0,1.0,4460.0,17988.0,0.0,0.0,6062.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,1162530000.0,41023600.0,1500.0,1203555100.0,116253.0,24050.0,1.0,0.8285793705097503,0.17141350210970463,7.127380545102064e-06,6463.049999952316,0.0,True,
MO,RURAL_FRIENDLY,133637.0,0.0,9.0,37447.0,25445.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,1710840000.0,25445000.0,13500.0,1736298500.0,171084.0,25445.0,9.0,0.8704881498743245,0.12946605745453804,4.579267113738819e-05,4208.390000104904,0.0,True,
MT,RURAL_FRIENDLY,11014.0,0.0,1.0,43820.0,19446.0,0.0,0.0,16100.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,548340000.0,80626000.0,1500.0,628967500.0,54834.0,35546.0,1.0,0.606698310485611,0.39329062524203096,1.1064272358128368e-05,6298.590000033379,0.0,True,
NE,RURAL_FRIENDLY,10069.0,0.0,0.0,26120.0,18680.0,0.0,0.0,6502.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,361890000.0,43387600.0,0.0,405277600.0,36189.0,25182.0,0.0,0.5896759055579998,0.4103240944420003,0.0,3470.410000026226,0.0,True,
