state,scenario,urban_fiber_locations,urban_fw_locations,urban_sat_locations,rural_fiber_locations,rural_fw_locations,rural_sat_locations,tribal_fiber_locations,tribal_fw_locations,tribal_sat_locations,cost_urban_fiber,cost_urban_fw,cost_urban_sat,cost_rural_fiber,cost_rural_fw,cost_rural_sat,cost_tribal_fiber,cost_tribal_fw,cost_tribal_sat,fiber_spent,fw_spent,sat_spent,total_spent,fiber_served,fw_served,sat_served,fiber_ratio,fw_ratio,sat_ratio,remaining_funds,unserved_remaining,success,message
CT,SAT_FRIENDLY,4618.0,0.0,0.0,457.0,0.0,0.0,4.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,83164000.0,0.0,0.0,83164000.0,5079.0,0.0,0.0,1.0,0.0,0.0,61016792.71000001,0.0,True,
DE,SAT_FRIENDLY,5959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,59590000.0,0.0,0.0,59590000.0,5959.0,0.0,0.0,1.0,0.0,0.0,48158384.66,0.0,True,
DC,SAT_FRIENDLY,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,990000.0,0.0,0.0,990000.0,99.0,0.0,0.0,1.0,0.0,0.0,99704786.93,0.0,True,
FL,SAT_FRIENDLY,116994.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,1169940000.0,7000.0,0.0,1169947000.0,116994.0,7.0,0.0,0.47442822384428224,2.8386050283860503e-05,0.0,392.7000000476837,129599.0,True,
GA,SAT_FRIENDLY,130721.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,1307210000.0,4000.0,0.0,1307214000.0,130721.0,4.0,0.0,0.6633799028687714,2.0299107346754427e-05,0.0,371.2999999523163,66328.0,True,
HI,SAT_FRIENDLY,14948.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,149480000.0,4000.0,0.0,149484000.0,14948.0,4.0,0.0,0.19662729209965538,5.261634789929231e-05,0.0,493.56999999284744,61070.0,True,
ID,SAT_FRIENDLY,30701.0,0.0,0.0,3453.0,0.0,4.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,583250000.0,0.0,6000.0,583256000.0,34154.0,0.0,4.0,0.3529326664737734,0.0,4.133427024345885e-05,249.87999999523163,62614.0,True,
IL,SAT_FRIENDLY,104042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,1040420000.0,0.0,0.0,1040420000.0,104042.0,0.0,0.0,0.5605469591827938,0.0,0.0,751.5,81566.0,True,
IN,SAT_FRIENDLY,86810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,868100000.0,9000.0,0.0,868109000.0,86810.0,9.0,0.0,0.7124625548853051,7.38643358365136e-05,0.0,929.789999961853,35026.0,True,
IA,SAT_FRIENDLY,41533.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,415330000.0,0.0,1200.0,415331200.0,41533.0,0.0,1.0,0.4958453714094697,0.0,1.1938587903822736e-05,113.0,42228.0,True,
KS,SAT_FRIENDLY,24896.0,0.0,0.0,2534.0,0.0,30.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,451680000.0,0.0,45000.0,451725000.0,27430.0,0.0,30.0,0.3982692782367546,0.0,0.0004355843363872635,998.1499999761581,41413.0,True,
